symbol,link,trend,close,volume_diario,ma_dist_pct
ASTER_USDT,https://futures.mexc.com/exchange/ASTER_USDT,BAIXA,0.7139,88M,-0.02123221801740469
ARB_USDT,https://futures.mexc.com/exchange/ARB_USDT,BAIXA,0.2072,57M,-0.05379850792456878
PENGU_USDT,https://futures.mexc.com/exchange/PENGU_USDT,BAIXA,0.012004,56M,-0.12531850765522692
XLM_USDT,https://futures.mexc.com/exchange/XLM_USDT,BAIXA,0.22729,70M,-0.1253643729468061
ADA_USDT,https://futures.mexc.com/exchange/ADA_USDT,BAIXA,0.3911,218M,-0.2794632291850108
WIF_USDT,https://futures.mexc.com/exchange/WIF_USDT,BAIXA,0.3834,27M,-0.3634411266674836
DOGE_USDT,https://futures.mexc.com/exchange/DOGE_USDT,BAIXA,0.13937,549M,-0.4149817381184805
APT_USDT,https://futures.mexc.com/exchange/APT_USDT,BAIXA,1.7903,39M,-0.4309715597989457
AVAX_USDT,https://futures.mexc.com/exchange/AVAX_USDT,BAIXA,13.744,116M,-0.5243800246531538
HBAR_USDT,https://futures.mexc.com/exchange/HBAR_USDT,BAIXA,0.11763,56M,-0.6175023397843727
HYPE_USDT,https://futures.mexc.com/exchange/HYPE_USDT,BAIXA,24.685,100M,-0.683508538662899
ETHFI_USDT,https://futures.mexc.com/exchange/ETHFI_USDT,BAIXA,0.7404,10M,-0.7297073046644694
XRP_USDT,https://futures.mexc.com/exchange/XRP_USDT,BAIXA,2.066,906M,-0.8160679169584325
SEI_USDT,https://futures.mexc.com/exchange/SEI_USDT,BAIXA,0.1199,34M,-0.9515854297693891
TAO_USDT,https://futures.mexc.com/exchange/TAO_USDT,BAIXA,278.4,101M,-0.9648047133776115
SUI_USDT,https://futures.mexc.com/exchange/SUI_USDT,BAIXA,1.7765,273M,-0.9795334160433476
INJ_USDT,https://futures.mexc.com/exchange/INJ_USDT,BAIXA,5.16,17M,-1.1036773428232405
TRUMPOFFICIAL_USDT,https://futures.mexc.com/exchange/TRUMPOFFICIAL_USDT,BAIXA,5.342,43M,-1.1074380165289381
VET_USDT,https://futures.mexc.com/exchange/VET_USDT,BAIXA,0.01147,31M,-1.1858378534382468
WLFI_USDT,https://futures.mexc.com/exchange/WLFI_USDT,BAIXA,0.1678,40M,-1.294394460435433
1000BONK_USDT,https://futures.mexc.com/exchange/1000BONK_USDT,BAIXA,0.010485,16M,-1.8615256816952783
ENA_USDT,https://futures.mexc.com/exchange/ENA_USDT,BAIXA,0.2225,125M,-2.0050244933201946
WLD_USDT,https://futures.mexc.com/exchange/WLD_USDT,BAIXA,0.5592,59M,-2.220976982352156
SHIB_USDT,https://futures.mexc.com/exchange/SHIB_USDT,BAIXA,8.389e-06,46M,-2.3135919328260313
TONCOIN_USDT,https://futures.mexc.com/exchange/TONCOIN_USDT,BAIXA,1.716,31M,-2.323185435936927
KAS_USDT,https://futures.mexc.com/exchange/KAS_USDT,BAIXA,0.04524,13M,-2.371176960609321
FET_USDT,https://futures.mexc.com/exchange/FET_USDT,BAIXA,0.2741,9M,-2.3782495773836363
ATOM_USDT,https://futures.mexc.com/exchange/ATOM_USDT,BAIXA,2.467,23M,-2.5206124852767973
POL_USDT,https://futures.mexc.com/exchange/POL_USDT,BAIXA,0.14749,6M,-2.5953501213365455
UNI_USDT,https://futures.mexc.com/exchange/UNI_USDT,BAIXA,5.318,148M,-2.6432733257484613
PEPE_USDT,https://futures.mexc.com/exchange/PEPE_USDT,BAIXA,5.825e-06,270M,-2.7499128421357226
SPX_USDT,https://futures.mexc.com/exchange/SPX_USDT,BAIXA,0.5663,9M,-2.8430198382919167
ALGO_USDT,https://futures.mexc.com/exchange/ALGO_USDT,BAIXA,0.128,13M,-2.9146555917237116
VIRTUAL_USDT,https://futures.mexc.com/exchange/VIRTUAL_USDT,BAIXA,0.9855,7M,-3.3070423132244113
FLOKI_USDT,https://futures.mexc.com/exchange/FLOKI_USDT,BAIXA,4.955e-05,12M,-3.6239048822981443
FARTCOIN_USDT,https://futures.mexc.com/exchange/FARTCOIN_USDT,BAIXA,0.3705,61M,-4.071674594062643
RENDER_USDT,https://futures.mexc.com/exchange/RENDER_USDT,BAIXA,2.189,22M,-4.299028390297676
ONDO_USDT,https://futures.mexc.com/exchange/ONDO_USDT,BAIXA,0.3783,37M,-4.503852060883808
BCH_USDT,https://futures.mexc.com/exchange/BCH_USDT,BAIXA,593.4,178M,-4.688558190982301
LTC_USDT,https://futures.mexc.com/exchange/LTC_USDT,BAIXA,72.31,251M,-7.406772319835198
XPL_USDT,https://futures.mexc.com/exchange/XPL_USDT,BAIXA,0.1425,7M,-8.73520372267549
BEAT_USDT,https://futures.mexc.com/exchange/BEAT_USDT,BAIXA,0.3683,8M,-13.514044347204496
LIT_USDT,https://futures.mexc.com/exchange/LIT_USDT,BAIXA,1.833,23M,-24.863594726990318
