symbol,link,trend,close,volume_diario,ma_dist_pct
BTC_USDT,https://futures.mexc.com/exchange/BTC_USDT,ALTA,95403.8,3211M,2.255571366246178
SOL_USDT,https://futures.mexc.com/exchange/SOL_USDT,NEUTRO,143.85,1878M,2.1490373174076325
ETH_USDT,https://futures.mexc.com/exchange/ETH_USDT,ALTA,3305.94,1460M,2.8535391132623147
XRP_USDT,https://futures.mexc.com/exchange/XRP_USDT,NEUTRO,2.0648,594M,-1.2461461864001073
DOGE_USDT,https://futures.mexc.com/exchange/DOGE_USDT,NEUTRO,0.13787,373M,-2.1294691047070655
SUI_USDT,https://futures.mexc.com/exchange/SUI_USDT,NEUTRO,1.8046,235M,-0.6330309954097888
DASH_USDT,https://futures.mexc.com/exchange/DASH_USDT,NEUTRO,75.72,220M,38.06624685656336
LTC_USDT,https://futures.mexc.com/exchange/LTC_USDT,BAIXA,74.34,217M,-3.5896297004058075
PEPE_USDT,https://futures.mexc.com/exchange/PEPE_USDT,BAIXA,5.854e-06,217M,-2.5471702818495956
ZEC_USDT,https://futures.mexc.com/exchange/ZEC_USDT,NEUTRO,403.2,198M,0.08716596335384531
ADA_USDT,https://futures.mexc.com/exchange/ADA_USDT,NEUTRO,0.3973,171M,-0.2367153290191876
LINK_USDT,https://futures.mexc.com/exchange/LINK_USDT,ALTA,13.797,167M,1.5154878716571114
BNB_USDT,https://futures.mexc.com/exchange/BNB_USDT,ALTA,943.5,124M,2.064792977792818
UNI_USDT,https://futures.mexc.com/exchange/UNI_USDT,NEUTRO,5.391,124M,-2.191872962026065
XMR_USDT,https://futures.mexc.com/exchange/XMR_USDT,NEUTRO,616.66,119M,3.614381278207867
OP_USDT,https://futures.mexc.com/exchange/OP_USDT,ALTA,0.3505,110M,3.6023993968466548
ENA_USDT,https://futures.mexc.com/exchange/ENA_USDT,NEUTRO,0.2215,109M,-3.2017674598025536
AVAX_USDT,https://futures.mexc.com/exchange/AVAX_USDT,NEUTRO,13.768,96M,-2.1665715628958915
ASTER_USDT,https://futures.mexc.com/exchange/ASTER_USDT,ALTA,0.7205,82M,0.03405544782913057
TAO_USDT,https://futures.mexc.com/exchange/TAO_USDT,BAIXA,276.0,82M,-2.4421244399566344
BCH_USDT,https://futures.mexc.com/exchange/BCH_USDT,NEUTRO,596.94,75M,-3.5948533550030812
HYPE_USDT,https://futures.mexc.com/exchange/HYPE_USDT,ALTA,25.315,74M,0.9508623796322665
XAUT_USDT,https://futures.mexc.com/exchange/XAUT_USDT,ALTA,4596.3,74M,0.5829926958386449
CHZ_USDT,https://futures.mexc.com/exchange/CHZ_USDT,ALTA,0.06371,73M,13.622422139545856
NEAR_USDT,https://futures.mexc.com/exchange/NEAR_USDT,ALTA,1.784,73M,0.9251326751801197
AAVE_USDT,https://futures.mexc.com/exchange/AAVE_USDT,ALTA,175.73,72M,2.8579074877458
ICP_USDT,https://futures.mexc.com/exchange/ICP_USDT,NEUTRO,3.991,71M,11.586109189153571
HBAR_USDT,https://futures.mexc.com/exchange/HBAR_USDT,NEUTRO,0.1187,67M,-0.4032152994863351
XLM_USDT,https://futures.mexc.com/exchange/XLM_USDT,NEUTRO,0.22873,58M,-0.7179470998802245
WLD_USDT,https://futures.mexc.com/exchange/WLD_USDT,NEUTRO,0.5564,58M,-3.8059440135094316
PAXG_USDT,https://futures.mexc.com/exchange/PAXG_USDT,ALTA,4606.49,54M,0.5915332618579819
FILECOIN_USDT,https://futures.mexc.com/exchange/FILECOIN_USDT,ALTA,1.555,52M,0.9622687615990534
PENGU_USDT,https://futures.mexc.com/exchange/PENGU_USDT,BAIXA,0.012014,51M,-1.1877877005024495
AXS_USDT,https://futures.mexc.com/exchange/AXS_USDT,ALTA,1.968,46M,41.87557182067704
DOT_USDT,https://futures.mexc.com/exchange/DOT_USDT,ALTA,2.193,45M,0.8784663363832981
PUMPFUN_USDT,https://futures.mexc.com/exchange/PUMPFUN_USDT,NEUTRO,0.0029,44M,13.058639640227826
APT_USDT,https://futures.mexc.com/exchange/APT_USDT,NEUTRO,1.8713,43M,-0.15165166066480426
FARTCOIN_USDT,https://futures.mexc.com/exchange/FARTCOIN_USDT,BAIXA,0.371,42M,-2.8317817372515517
SHIB_USDT,https://futures.mexc.com/exchange/SHIB_USDT,NEUTRO,8.516e-06,38M,-0.8860066828887875
TRUMPOFFICIAL_USDT,https://futures.mexc.com/exchange/TRUMPOFFICIAL_USDT,NEUTRO,5.417,37M,-1.2423420727487127
DUSK_USDT,https://futures.mexc.com/exchange/DUSK_USDT,ALTA,0.11989,37M,61.62051064238305
ZEN_USDT,https://futures.mexc.com/exchange/ZEN_USDT,NEUTRO,11.33,35M,16.552239886136093
ETC_USDT,https://futures.mexc.com/exchange/ETC_USDT,ALTA,13.003,33M,1.2505963280363328
SILVER_USDT,https://futures.mexc.com/exchange/SILVER_USDT,NEUTRO,90.07,33M,5.722725773684679
ARB_USDT,https://futures.mexc.com/exchange/ARB_USDT,ALTA,0.2172,32M,1.1856354064118588
PIPPIN_USDT,https://futures.mexc.com/exchange/PIPPIN_USDT,NEUTRO,0.31492,28M,-9.404914117744413
TIA_USDT,https://futures.mexc.com/exchange/TIA_USDT,NEUTRO,0.5817,28M,2.921535154833393
WIF_USDT,https://futures.mexc.com/exchange/WIF_USDT,BAIXA,0.3836,26M,-0.4504900112105803
WLFI_USDT,https://futures.mexc.com/exchange/WLFI_USDT,BAIXA,0.1685,22M,-0.8539985326485762
RIVER_USDT,https://futures.mexc.com/exchange/RIVER_USDT,NEUTRO,20.979,22M,11.34928125999922
1000BONK_USDT,https://futures.mexc.com/exchange/1000BONK_USDT,BAIXA,0.010516,21M,-0.8369096105852097
FHE_USDT,https://futures.mexc.com/exchange/FHE_USDT,ALTA,0.13875,21M,87.78876659879457
INJ_USDT,https://futures.mexc.com/exchange/INJ_USDT,ALTA,5.403,19M,1.61763787396165
QNT_USDT,https://futures.mexc.com/exchange/QNT_USDT,NEUTRO,80.06,19M,7.489433192442571
ONDO_USDT,https://futures.mexc.com/exchange/ONDO_USDT,NEUTRO,0.3917,18M,-2.1996487637241198
SAND_USDT,https://futures.mexc.com/exchange/SAND_USDT,ALTA,0.14722,17M,10.82472745426642
